model,run,total_s,load_s,prompt_tokens,prompt_tps,generated_tokens,generation_tps,done_reason,peak_package_c,response_sha256
qwen3.5:0.8b,1,15.643782115,3.884830898,54,21.144364322096017,96,10.43202719281755,length,67,fe500e681e9f15eba2ac4886863f7b9527edb0906eafcb6d2a2f6ec749f0cf56
qwen3.5:0.8b,2,10.110492232,0.610280949,54,233.80773210829628,96,10.374311648212279,length,70,fe500e681e9f15eba2ac4886863f7b9527edb0906eafcb6d2a2f6ec749f0cf56
qwen3.5:0.8b,3,9.964212409,0.596586346,54,233.82595554708777,96,10.509892929371002,length,70,fe500e681e9f15eba2ac4886863f7b9527edb0906eafcb6d2a2f6ec749f0cf56
qwen3.5:2b,1,30.788122284,4.871927959,54,8.185375099361359,96,4.970028399052899,length,72,be3e4db613c8a29479b4bffbee37228d9b6e948f21aebc7b9e7c8b78574140df
qwen3.5:2b,2,20.750755629,0.616931048,54,95.78425129530461,96,4.9094924832601645,length,74,be3e4db613c8a29479b4bffbee37228d9b6e948f21aebc7b9e7c8b78574140df
qwen3.5:2b,3,20.916843391,0.629856228,54,93.58265601441866,96,4.87117962515461,length,75,be3e4db613c8a29479b4bffbee37228d9b6e948f21aebc7b9e7c8b78574140df
gemma4:e2b,1,39.041754318,8.974967016,52,4.999994230775887,66,3.3568702494881917,stop,75,9ba2772c1bff109bd53d58d68122ff400bdb4985117b45031aca2f1279cf08d4
gemma4:e2b,2,21.564147446,0.830422887,52,43.878301842213624,66,3.376781943180425,stop,76,9ba2772c1bff109bd53d58d68122ff400bdb4985117b45031aca2f1279cf08d4
gemma4:e2b,3,21.535336806,0.861073758,52,46.08168332844454,66,3.3771097149775686,stop,77,9ba2772c1bff109bd53d58d68122ff400bdb4985117b45031aca2f1279cf08d4
gemma4:e4b,1,83.129944614,15.552369781,52,2.4314888277296713,82,1.7753308810817776,stop,77,0b43c9d97a8e3d9b0b2970d8f49567f60ac62d1433efd07c1b466a42a9796822
gemma4:e4b,2,49.298380395,0.90330987,52,23.072103874161197,82,1.777329678767818,stop,78,0b43c9d97a8e3d9b0b2970d8f49567f60ac62d1433efd07c1b466a42a9796822
gemma4:e4b,3,49.306618684,0.867129487,52,23.116073361526052,82,1.775397993891202,stop,77,0b43c9d97a8e3d9b0b2970d8f49567f60ac62d1433efd07c1b466a42a9796822
