timestamp,model,cpu_pct,load1,pkg_temp_c,nvme_temp_c,mem_available_mib,ollama_rss_mib
2026-07-16T18:11:13-07:00,qwen3:1.7b,74.06,3.08,69.0,35.9,12822.5,76.3
2026-07-16T18:11:14-07:00,qwen3:1.7b,98.50,3.15,69.0,35.9,12822.1,76.3
2026-07-16T18:11:15-07:00,qwen3:1.7b,99.75,3.15,75.0,35.9,12822.0,76.3
2026-07-16T18:11:16-07:00,qwen3:1.7b,95.77,3.15,73.0,35.9,12821.5,76.3
2026-07-16T18:11:17-07:00,qwen3:1.7b,97.26,3.15,73.0,35.9,12821.4,76.3
2026-07-16T18:11:19-07:00,qwen3:1.7b,96.26,3.22,72.0,35.9,12821.3,76.3
2026-07-16T18:11:20-07:00,qwen3:1.7b,98.25,3.22,74.0,35.9,12820.7,76.3
2026-07-16T18:11:21-07:00,qwen3:1.7b,98.76,3.22,74.0,35.9,12820.3,76.3
2026-07-16T18:11:22-07:00,qwen3:1.7b,95.78,3.22,73.0,35.9,12835.4,76.3
2026-07-16T18:11:23-07:00,qwen3:1.7b,98.51,3.22,74.0,35.9,12834.6,76.3
2026-07-16T18:11:24-07:00,qwen3:1.7b,99.75,3.44,73.0,35.9,12833.7,76.3
2026-07-16T18:11:25-07:00,qwen3:1.7b,98.76,3.44,69.0,35.9,12833.2,76.3
2026-07-16T18:11:27-07:00,qwen3:1.7b,99.75,3.44,75.0,35.9,12832.6,76.3
2026-07-16T18:11:28-07:00,qwen3:1.7b,100.00,3.44,74.0,35.9,12832.1,76.3
2026-07-16T18:11:29-07:00,qwen3:1.7b,97.26,3.49,73.0,35.9,12832.7,76.3
2026-07-16T18:11:30-07:00,qwen3:1.7b,85.54,3.49,53.0,35.9,12832.7,76.3
