timestamp,model,cpu_pct,load1,pkg_temp_c,nvme_temp_c,mem_available_mib,ollama_rss_mib
2026-07-16T18:20:58-07:00,qwen3:8b,29.43,4.05,59.0,35.9,14585.5,76.1
2026-07-16T18:20:59-07:00,qwen3:8b,16.46,4.05,57.0,35.9,13874.4,76.1
2026-07-16T18:21:00-07:00,qwen3:8b,11.45,3.81,55.0,35.9,13063.3,76.1
2026-07-16T18:21:01-07:00,qwen3:8b,14.43,3.81,59.0,35.9,12248.6,76.1
2026-07-16T18:21:02-07:00,qwen3:8b,21.61,3.81,57.0,35.9,11284.5,76.1
2026-07-16T18:21:03-07:00,qwen3:8b,19.49,3.81,57.0,35.9,10366.1,76.1
2026-07-16T18:21:04-07:00,qwen3:8b,22.17,3.58,59.0,35.9,9189.5,76.1
2026-07-16T18:21:05-07:00,qwen3:8b,96.05,3.58,76.0,35.9,9052.8,76.1
2026-07-16T18:21:06-07:00,qwen3:8b,94.25,3.58,77.0,35.9,9051.8,76.1
2026-07-16T18:21:07-07:00,qwen3:8b,100.00,3.58,78.0,35.9,9051.0,76.1
2026-07-16T18:21:09-07:00,qwen3:8b,78.64,3.58,76.0,35.9,9043.9,80.3
2026-07-16T18:21:10-07:00,qwen3:8b,100.00,3.70,77.0,35.9,9035.2,80.3
2026-07-16T18:21:11-07:00,qwen3:8b,100.00,3.70,79.0,35.9,9034.1,80.3
2026-07-16T18:21:12-07:00,qwen3:8b,100.00,3.70,76.0,35.9,9034.1,80.3
2026-07-16T18:21:13-07:00,qwen3:8b,100.00,3.70,75.0,35.9,9032.4,80.3
2026-07-16T18:21:14-07:00,qwen3:8b,100.00,3.72,77.0,35.9,9032.4,80.3
2026-07-16T18:21:16-07:00,qwen3:8b,100.00,3.72,77.0,35.9,9032.9,80.3
2026-07-16T18:21:17-07:00,qwen3:8b,100.00,3.72,77.0,35.9,9032.2,80.3
2026-07-16T18:21:18-07:00,qwen3:8b,100.00,3.72,76.0,35.9,9032.2,80.3
2026-07-16T18:21:19-07:00,qwen3:8b,100.00,3.74,76.0,35.9,9031.4,80.3
2026-07-16T18:21:20-07:00,qwen3:8b,100.00,3.74,80.0,35.9,9031.5,80.3
2026-07-16T18:21:22-07:00,qwen3:8b,100.00,3.74,77.0,35.9,9031.4,80.3
2026-07-16T18:21:23-07:00,qwen3:8b,100.00,3.74,76.0,35.9,9030.9,80.3
2026-07-16T18:21:24-07:00,qwen3:8b,100.00,3.76,77.0,35.9,9030.1,80.3
2026-07-16T18:21:25-07:00,qwen3:8b,100.00,3.76,77.0,35.9,9029.5,80.3
2026-07-16T18:21:26-07:00,qwen3:8b,100.00,3.76,76.0,35.9,9030.0,80.3
2026-07-16T18:21:27-07:00,qwen3:8b,100.00,3.76,76.0,35.9,9029.8,80.3
2026-07-16T18:21:29-07:00,qwen3:8b,100.00,3.76,77.0,35.9,9018.0,110.5
2026-07-16T18:21:30-07:00,qwen3:8b,100.00,3.78,77.0,35.9,9017.0,80.3
2026-07-16T18:21:31-07:00,qwen3:8b,100.00,3.78,76.0,35.9,9017.5,80.3
2026-07-16T18:21:32-07:00,qwen3:8b,100.00,3.78,77.0,35.9,9017.5,80.3
2026-07-16T18:21:33-07:00,qwen3:8b,100.00,3.78,76.0,35.9,9017.5,80.3
2026-07-16T18:21:35-07:00,qwen3:8b,100.00,3.88,76.0,35.9,9017.0,80.3
2026-07-16T18:21:36-07:00,qwen3:8b,100.00,3.88,76.0,35.9,9017.5,80.3
2026-07-16T18:21:37-07:00,qwen3:8b,100.00,3.88,77.0,35.9,9017.5,80.3
2026-07-16T18:21:38-07:00,qwen3:8b,100.00,3.88,77.0,35.9,9016.6,80.3
2026-07-16T18:21:39-07:00,qwen3:8b,100.00,3.89,75.0,35.9,9017.0,80.3
2026-07-16T18:21:40-07:00,qwen3:8b,100.00,3.89,76.0,35.9,9016.9,80.3
2026-07-16T18:21:42-07:00,qwen3:8b,100.00,3.89,77.0,35.9,9016.3,80.3
2026-07-16T18:21:43-07:00,qwen3:8b,100.00,3.89,76.0,35.9,9016.3,80.3
2026-07-16T18:21:44-07:00,qwen3:8b,100.00,3.90,77.0,35.9,9016.8,80.3
2026-07-16T18:21:45-07:00,qwen3:8b,100.00,3.90,79.0,35.9,9016.1,80.3
2026-07-16T18:21:46-07:00,qwen3:8b,100.00,3.90,75.0,35.9,9016.1,80.3
2026-07-16T18:21:47-07:00,qwen3:8b,100.00,3.90,77.0,35.9,9016.6,80.3
2026-07-16T18:21:49-07:00,qwen3:8b,100.00,3.90,75.0,35.9,9016.6,80.3
2026-07-16T18:21:50-07:00,qwen3:8b,100.00,3.99,77.0,35.9,9016.1,80.3
2026-07-16T18:21:51-07:00,qwen3:8b,100.00,3.99,79.0,35.9,9016.6,80.3
2026-07-16T18:21:52-07:00,qwen3:8b,100.00,3.99,75.0,35.9,9016.6,80.3
2026-07-16T18:21:53-07:00,qwen3:8b,100.00,3.99,77.0,35.9,9016.1,80.3
2026-07-16T18:21:54-07:00,qwen3:8b,100.00,3.99,75.0,35.9,9016.6,80.3
2026-07-16T18:21:56-07:00,qwen3:8b,100.00,3.99,76.0,35.9,9016.6,80.3
2026-07-16T18:21:57-07:00,qwen3:8b,100.00,3.99,79.0,35.9,9016.1,80.3
2026-07-16T18:21:58-07:00,qwen3:8b,100.00,3.99,77.0,35.9,9016.4,80.3
