model,run,total_s,load_s,prompt_tokens,prompt_tps,generated_tokens,generation_tps,done_reason,response_sha256
"qwen3:0.6b","1",14.819940454,2.997754943,58,12.427119230924157,54,7.553321202326479,"stop",1afe824b7d3e289777c8b3f442a478eb5bf3159dc1e61b11aec4c97a1d14c0a9
"qwen3:0.6b","2",8.693583097,0.33474008,58,439.23754420774424,54,6.565918723410309,"stop",1afe824b7d3e289777c8b3f442a478eb5bf3159dc1e61b11aec4c97a1d14c0a9
"qwen3:0.6b","3",8.159135916,0.322764199,58,442.14394072221927,54,7.0107417546536395,"stop",1afe824b7d3e289777c8b3f442a478eb5bf3159dc1e61b11aec4c97a1d14c0a9
"qwen3:1.7b","1",32.870066338,3.965335285,58,4.8471740348587025,56,3.306654145664885,"stop",49a2d346c6441cb1f9878f90c30944c1b9c1dc9b23a73af537451d80577efa98
"qwen3:1.7b","2",18.03310847,0.346723636,58,201.00154216700454,56,3.2192470503074038,"stop",49a2d346c6441cb1f9878f90c30944c1b9c1dc9b23a73af537451d80577efa98
"qwen3:1.7b","3",19.088850415,0.357006368,58,189.72600947321592,56,3.0395719153759297,"stop",49a2d346c6441cb1f9878f90c30944c1b9c1dc9b23a73af537451d80577efa98
"qwen3:4b-instruct","1",76.266459988,6.016664097,50,2.6569565179500794,96,1.8669661747152453,"length",afeae4799b8b61ecd9f899a66c242ed7d388750c2578f256af0c167a7cfe73aa
"qwen3:4b-instruct","2",53.840254987,0.335358987,50,97.47994837461934,96,1.812238499647746,"length",afeae4799b8b61ecd9f899a66c242ed7d388750c2578f256af0c167a7cfe73aa
"qwen3:4b-instruct","3",53.196209419,0.33942431,50,93.27000921507691,96,1.8352078547813788,"length",afeae4799b8b61ecd9f899a66c242ed7d388750c2578f256af0c167a7cfe73aa
"phi4-mini","1",69.961169317,6.644308567,45,2.9100074379790115,96,2.00634380832896,"length",7c8ef51c205d8470daeb7de74fc2a434a618bc68b3e42c8e0044e8d2902f4f69
"phi4-mini","2",49.077568205,0.423437666,45,96.33333904197565,96,1.9927180684832853,"length",7c8ef51c205d8470daeb7de74fc2a434a618bc68b3e42c8e0044e8d2902f4f69
"phi4-mini","3",49.173832786,0.439992295,45,94.47588975293505,96,1.9894938147466255,"length",7c8ef51c205d8470daeb7de74fc2a434a618bc68b3e42c8e0044e8d2902f4f69
"gemma3:4b","1",73.92164766,8.230132445,53,3.0232918971213696,96,1.99342713086303,"length",52e2776b506d99215243eb684d03de0cd980a603de9a2423cfc23706feaea2fc
"gemma3:4b","2",51.023301359,0.844816123,53,28.215127034616767,96,1.9883766131119518,"length",52e2776b506d99215243eb684d03de0cd980a603de9a2423cfc23706feaea2fc
"gemma3:4b","3",50.698246898,0.862304585,53,28.129887899742958,96,2.002116570901538,"length",52e2776b506d99215243eb684d03de0cd980a603de9a2423cfc23706feaea2fc
"qwen3:8b","1",151.590940008,11.352024664,58,1.1787736201845065,84,0.9227808828011813,"stop",58417aa0cdf1ba99e650c9a20e266d9443d77c9a4ea12b147d3b53e67f8e6f14
"qwen3:8b","2",92.314247615,0.33060834,58,55.39721720236147,84,0.9238926492175168,"stop",58417aa0cdf1ba99e650c9a20e266d9443d77c9a4ea12b147d3b53e67f8e6f14
"qwen3:8b","3",92.264149251,0.310683067,58,53.65759791586488,84,0.9244103291057041,"stop",58417aa0cdf1ba99e650c9a20e266d9443d77c9a4ea12b147d3b53e67f8e6f14
