model,run,total_s,load_s,prompt_tokens,prompt_tps,generated_tokens,generation_tps,done_reason,response_sha256
qwen3:0.6b,1,14.76403706,2.984867679,58,12.497182747165187,54,7.5712167576264235,stop,1afe824b7d3e289777c8b3f442a478eb5bf3159dc1e61b11aec4c97a1d14c0a9
qwen3:0.6b,2,7.301899609,0.357697723,58,381.42587514221265,54,7.953320489211689,stop,1afe824b7d3e289777c8b3f442a478eb5bf3159dc1e61b11aec4c97a1d14c0a9
qwen3:0.6b,3,7.538520406,0.342313663,58,382.8003828003828,54,7.667936325456753,stop,1afe824b7d3e289777c8b3f442a478eb5bf3159dc1e61b11aec4c97a1d14c0a9
qwen3:1.7b,1,33.411666435,4.758932535,58,4.9495732358483595,56,3.3074202860032633,stop,49a2d346c6441cb1f9878f90c30944c1b9c1dc9b23a73af537451d80577efa98
qwen3:1.7b,2,16.799513974,0.349409447,58,217.48586341887778,56,3.4608333167501737,stop,49a2d346c6441cb1f9878f90c30944c1b9c1dc9b23a73af537451d80577efa98
qwen3:1.7b,3,16.702751597,0.340472275,58,217.94597276406586,56,3.479635866048435,stop,49a2d346c6441cb1f9878f90c30944c1b9c1dc9b23a73af537451d80577efa98
qwen3:4b-instruct,1,73.774068881,7.52375031,50,2.7121630205251073,96,2.0082092666180835,length,afeae4799b8b61ecd9f899a66c242ed7d388750c2578f256af0c167a7cfe73aa
qwen3:4b-instruct,2,49.21870691,0.337044607,50,102.947383592246,96,1.9846464033028486,length,afeae4799b8b61ecd9f899a66c242ed7d388750c2578f256af0c167a7cfe73aa
qwen3:4b-instruct,3,49.21334717,0.312007912,50,108.6078215008732,96,1.9822217013384085,length,afeae4799b8b61ecd9f899a66c242ed7d388750c2578f256af0c167a7cfe73aa
phi4-mini,1,68.25462886,7.67064103,45,3.057357244856404,96,2.0932947908337325,length,7c8ef51c205d8470daeb7de74fc2a434a618bc68b3e42c8e0044e8d2902f4f69
phi4-mini,2,46.63611649,0.462263492,45,94.42117720127237,96,2.1015714894857283,length,7c8ef51c205d8470daeb7de74fc2a434a618bc68b3e42c8e0044e8d2902f4f69
phi4-mini,3,46.681603365,0.454841764,45,93.16712318557028,96,2.0988340058857426,length,7c8ef51c205d8470daeb7de74fc2a434a618bc68b3e42c8e0044e8d2902f4f69
gemma3:4b,1,72.23027257,9.979875866,53,3.0932897673624313,96,2.127955564031912,length,52e2776b506d99215243eb684d03de0cd980a603de9a2423cfc23706feaea2fc
gemma3:4b,2,47.782541223,0.856244486,53,29.363336384165518,96,2.128234980907183,length,52e2776b506d99215243eb684d03de0cd980a603de9a2423cfc23706feaea2fc
gemma3:4b,3,48.111601049,0.81910047,53,29.20976024849239,96,2.1110230101068304,length,52e2776b506d99215243eb684d03de0cd980a603de9a2423cfc23706feaea2fc
qwen3:8b,1,148.655287541,14.330932054,58,1.2086070072825448,84,0.9729828831229563,stop,58417aa0cdf1ba99e650c9a20e266d9443d77c9a4ea12b147d3b53e67f8e6f14
qwen3:8b,2,87.179718385,0.329317567,58,55.92172501166643,84,0.9790591029890803,stop,58417aa0cdf1ba99e650c9a20e266d9443d77c9a4ea12b147d3b53e67f8e6f14
